sample_id	h0	h1	h2
SRS8422916	3240.0	1389.2022166683878	995.9649008379623
SRS8422917	4692.0	1405.68983456604	997.4383275668482
SRS8422918	3514.0	1322.1343233133312	937.8216871438498
SRS8422919	2898.0	1361.2286609905316	974.3858469978023
SRS8422920	3004.0	1283.0984764423993	937.6913954619
SRS8422921	3124.0	1430.4205585038978	1026.7913505352083
SRS8422922	3491.0	1450.9317512126315	1035.0535570908621
SRS8422923	2837.0	1419.6267322276135	1013.3445948356114
SRS8422924	3485.0	1402.293708181553	992.3750677073104
SRS8422925	2702.0	1301.955005444567	917.3982473197598
SRS8422926	3318.0	1380.725065601293	984.751454415408
SRS8422927	2856.0	1353.0838922126816	971.9707798659142
SRS8422928	3100.0	1392.5214345376614	1000.0966615116442
SRS8422929	3734.0	1410.6531381862985	1003.3839647544377
SRS8422930	3830.0	1341.5255155272134	955.1915316516073
SRS8422931	3167.0	1384.4035996667756	983.6769374270456
SRS8422932	3215.0	1401.6648781643203	999.3678612488372
SRS8422933	4683.0	1349.3919553987657	961.5832525973939
SRS8422934	3361.0	1340.16226442029	946.7445646965309
SRS8422935	2981.0	1298.6179189418674	946.6784984396484
SRS8422936	3303.0	1339.7633284354026	955.7758316293949
SRS8422937	3747.0	1390.228135280536	977.7434202400647
SRS8422938	3219.0	1240.9942155799245	903.3347555031249
SRS8422939	3475.0	1371.8594432991185	967.3385113234498
SRS8422940	4469.0	1440.6381215977146	1019.1238410830899
SRS8422941	2966.0	1380.0078340262037	1007.5219933184881
SRS8422942	3104.0	1384.2184212463922	1000.1486757418537
SRS8422943	2858.0	1360.7445851280092	977.1799178882218
SRS8422944	3178.0	1339.7804154362727	974.7608244342491
SRS8422945	4108.0	1362.361842125375	982.3969468689617
SRS8422946	4055.0	1408.9894439072557	1000.3855975738079
SRS8422947	3151.0	1369.1381488119096	986.314284136352
SRS8422948	3392.0	1365.3342450149648	980.2524933824129
SRS8422949	3107.0	1428.662193499534	1012.426700761474
SRS8422950	4741.0	1443.237710793639	1010.3124375616171
SRS8422951	2826.0	1328.5772953390476	951.3084542270379
SRS8422952	3203.0	1353.573111436146	962.2486769450295
SRS8422953	4194.0	1383.2359079970395	975.7409838733527
SRS8422954	4319.0	1474.5519182534317	1037.4397281470751
SRS8422955	3309.0	1392.4831099061403	992.7948151022841
SRS8422956	3834.0	1375.7344617470121	978.7774109804272
SRS8422957	3961.0	1367.9962427102573	984.995783517491
SRS8422958	3124.0	1352.8515832042735	973.2399132032692
SRS8422959	3244.0	1447.1008267700433	1035.8951648820457
SRS8422960	3213.0	1455.801276105703	1027.624257198689
SRS8422961	3977.0	1315.9401364300284	950.824782094776
SRS8422962	3168.0	1424.0104762100696	1015.4348596301182
SRS8422963	3406.0	1434.5726593256431	1011.6309445112645
SRS8422964	3180.0	1346.827340655473	965.3161185297861
SRS8422965	2922.0	1327.324599362549	956.5367751184758
SRS8422966	3507.0	1418.637270240491	1000.4899516155539
SRS8422967	3980.0	1402.8149785036346	1011.8265480398576
SRS8422968	3673.0	1408.9857828136946	1007.0560654655018
SRS8422969	2939.0	1317.2921122333867	955.9250601478686
SRS8422970	3840.0	1433.7931114144972	1014.5197957986859
SRS8422971	3170.0	1388.7429335377367	996.2114100248835
SRS8422972	4414.0	1381.090571379657	980.0031531142889
SRS8422973	3447.0	1393.4301818389004	1001.6455829948645
SRS8422974	3252.0	1417.9057089296232	1005.1328872424701
SRS8422975	2964.0	1398.0171376334583	996.2725625236582
SRS8422976	3447.0	1387.877745639323	982.3851974724093
SRS8422977	3706.0	1494.4965375824263	1048.7800805501554
SRS8422978	4187.0	1352.5284400870805	987.3678474563094
SRS8422979	3953.0	1265.865597278608	926.4176932882823
SRS8422980	3391.0	1329.1367337637707	956.2002311198003
SRS8422981	3081.0	1369.1370639970548	973.5403289973302
SRS8422982	3399.0	1382.2277441310587	985.8196268189411
SRS8422983	3016.0	1366.0217659647951	979.7292238174679
SRS8422984	3824.0	1655.3744639827955	1136.741691517103
SRS8422985	3005.0	1324.6459812645319	960.138041168177
SRS8422986	3087.0	1298.2443162636293	940.6312526899558
SRS8422987	3276.0	1410.672658979821	1007.4070604896446
SRS8422988	3037.0	1351.3836096901553	967.9897709419965
SRS8422989	4173.0	1360.5950982508086	976.8837123258272
SRS8422990	4383.0	1412.392105256886	1000.9291880962703
SRS8422991	4816.0	1372.5009991650315	970.7306924685552
SRS8422992	3495.0	1342.6462506248754	971.0914289880734
SRS8422993	3658.0	1415.900545899418	1012.388519952819
SRS8422994	2673.0	1331.066927605184	951.4781857241044
SRS8422995	3421.0	1439.3376211631874	1014.9836477418396
SRS8422996	3578.0	1439.7224514745997	1030.5741309873579
SRS8422997	3544.0	1410.1914587989634	999.0927724416144
SRS8422998	4171.0	1455.5357097849123	1020.0762945841385
SRS8422999	3491.0	1426.4872733710604	1010.0031976523334
SRS8423000	3236.0	1356.8233145629777	968.0602280003989
SRS8423001	3268.0	1490.0829727906594	1054.206345583155
SRS8423002	3619.0	1343.9492749660112	973.4242754756668
SRS8423003	2969.0	1352.1881201364188	960.954718805769
SRS8423004	3016.0	1318.8903815259753	953.8227624539213
SRS8423005	3181.0	1394.97390194619	990.3318282930716
SRS8423006	4228.0	1321.661783127681	946.2905190962458
SRS8423007	2824.0	1329.0513531499437	967.8402577168246
SRS8423008	3056.0	1332.402290238189	951.0289151635325
SRS8423009	4308.0	1414.2274388923909	988.2349814022754
SRS8423010	4114.0	1288.207810993131	941.0177260482508
SRS8423011	3308.0	1436.3173036528958	1033.233456691844
SRS8423012	4093.0	1352.4976202449766	976.279355510446
SRS8423013	4892.0	1552.1639037120933	1084.121387788913
