ASV_ID	OTU_ID
ASV3244662	ASV3239353
ASV3238553	ASV3238548
ASV3238555	ASV3238548
ASV3238556	ASV3238548
ASV3238560	ASV3238548
ASV3238566	ASV3238548
ASV3238569	ASV3238548
ASV3238583	ASV3238580
ASV3238585	ASV3238580
ASV3238586	ASV3238580
ASV3238587	ASV3238580
ASV3238591	ASV3238580
ASV3238593	ASV3238580
ASV3238595	ASV3238580
ASV3238598	ASV3238580
ASV3238600	ASV3238580
ASV3238602	ASV3238580
ASV3238617	ASV3238577
ASV3238676	ASV3238675
ASV3238679	ASV3238675
ASV3238684	ASV3238682
ASV3238685	ASV3238682
ASV3238699	ASV3238696
ASV3238700	ASV3238696
ASV3238701	ASV3238696
ASV3238703	ASV3238696
ASV3238745	ASV3238743
ASV3238753	ASV3238577
ASV3238758	ASV3238577
ASV3238760	ASV3238577
ASV3238762	ASV3238580
ASV3238766	ASV3238580
ASV3238783	ASV3238577
ASV3238791	ASV3238781
ASV3238792	ASV3238781
ASV3238813	ASV3238579
ASV3238827	ASV3238816
ASV3238828	ASV3238816
ASV3238940	ASV3238934
ASV3238941	ASV3238934
ASV3238942	ASV3238934
ASV3238949	ASV3238946
ASV3238957	ASV3238956
ASV3238969	ASV3238934
ASV3238970	ASV3238934
ASV3238972	ASV3238934
ASV3238974	ASV3238934
ASV3238975	ASV3238934
ASV3238978	ASV3238926
ASV3238979	ASV3238926
ASV3238986	ASV3238926
ASV3238988	ASV3238926
ASV3238992	ASV3238976
ASV3238994	ASV3238926
ASV3238995	ASV3238926
ASV3238998	ASV3238926
ASV3238999	ASV3238926
ASV3239001	ASV3238926
ASV3239003	ASV3238926
ASV3239009	ASV3238926
ASV3239011	ASV3238926
ASV3239013	ASV3238926
ASV3239022	ASV3238926
ASV3239023	ASV3238976
ASV3239026	ASV3238926
ASV3239027	ASV3238926
ASV3239029	ASV3238926
ASV3239032	ASV3238976
ASV3239033	ASV3238926
ASV3239040	ASV3238926
ASV3239042	ASV3238926
ASV3239044	ASV3238956
ASV3239046	ASV3238926
ASV3239050	ASV3238926
ASV3239053	ASV3238926
ASV3239054	ASV3238926
ASV3239055	ASV3238926
ASV3239058	ASV3238926
ASV3239061	ASV3238926
ASV3239062	ASV3238926
ASV3239064	ASV3238926
ASV3239082	ASV3238946
ASV3239100	ASV3238946
ASV3239103	ASV3238946
ASV3239104	ASV3238934
ASV3239105	ASV3238934
ASV3239106	ASV3238926
ASV3239112	ASV3238976
ASV3239115	ASV3238976
ASV3239118	ASV3238926
ASV3239123	ASV3238926
ASV3239124	ASV3238926
ASV3239126	ASV3238926
ASV3239142	ASV3239137
ASV3239146	ASV3239137
