sample_id	h0	h1	h2
SRS8422867	46.0	9.11471131838858	5.1945497203834305
SRS8422868	52.0	8.66475135400076	3.403536685664246
SRS8422869	68.0	21.07360994127105	10.663267106831793
SRS8422870	84.0	26.802124335461684	15.22513330326248
SRS8422871	91.0	8.906768570152739	3.9489354903796325
SRS8422872	97.0	23.63754157484275	10.909031382967786
SRS8422873	47.0	13.451312118258237	6.72588391713651
SRS8422874	88.0	17.980271493809926	6.677167777175815
SRS8422875	51.0	12.904770938785672	7.268992622988902
SRS8422876	93.0	24.093423257212432	9.157181304957208
SRS8422877	87.0	25.969409281576265	13.661699593073443
SRS8422878	80.0	27.671415238129217	16.662918833169964
SRS8422879	58.0	18.701602474248645	11.741214979000175
SRS8422880	85.0	23.480129609847676	13.739448531891416
SRS8422881	82.0	23.062709393100878	10.716395757671622
SRS8422882	53.0	14.5474981589633	10.151894044458952
SRS8422883	56.0	18.276073513150365	10.855387103134115
SRS8422884	52.0	8.920550175641457	4.375378505327283
SRS8422885	73.0	13.929919928484034	6.6417524251597175
SRS8422886	92.0	26.494850352516817	14.239661741670234
SRS8422887	50.0	10.36496684519074	6.080646468538926
SRS8422888	53.0	17.542315667618457	9.876633613376617
SRS8422889	90.0	17.198062386835737	8.63885626305669
SRS8422890	79.0	19.514674320097292	9.493735286519257
SRS8422891	41.0	6.4426689904906524	3.7075160804149974
SRS8422892	85.0	19.470041294759866	9.819404605326122
SRS8422893	48.0	8.996660672156343	4.448897405849576
SRS8422894	53.0	9.623356254907202	4.635049719657285
SRS8422895	28.0	5.625102758396514	3.3736912875685348
SRS8422896	54.0	11.800668300002746	4.909749605513431
SRS8422897	77.0	15.397077275458495	7.923795661022228
SRS8422898	67.0	18.243481052404537	7.964077336064587
SRS8422899	53.0	13.017482717224597	7.382453855833955
SRS8422900	61.0	10.150248136918234	6.508893229453358
SRS8422901	67.0	18.86176255768136	11.081290583161563
SRS8422902	63.0	13.627433093059146	6.031213237236962
SRS8422903	29.0	6.301907663140655	4.348783348246346
SRS8422904	61.0	15.686783498416583	7.793472912353832
SRS8422905	61.0	8.7729196022145	4.669870950211531
SRS8422906	86.0	21.87805273587521	10.129771344951486
SRS8422907	74.0	7.206675741794202	2.7216510350477767
SRS8422908	58.0	18.03903944777452	11.949386986665681
SRS8422909	44.0	6.16128107221561	3.721861429192454
SRS8422910	71.0	18.72776039404569	10.852781947745807
SRS8422911	59.0	14.633438191946823	8.28128609330185
SRS8422912	82.0	11.479355304847212	4.17698784843213
SRS8422913	63.0	13.197550979048568	6.471072838087124
SRS8422914	79.0	17.175740888357904	9.611867040769624
SRS8422915	57.0	7.074357632869924	3.4085406214963085
SRS8422916	61.0	11.697096694491727	6.092670068340764
SRS8422917	55.0	16.37236747194338	9.30225093363808
SRS8422918	59.0	13.509172852627586	8.087062270967253
SRS8422919	63.0	20.210920319334495	13.650644016154631
SRS8422920	63.0	7.5202062642490155	4.030876291452616
SRS8422921	73.0	16.294519986982156	7.519199505105128
SRS8422922	58.0	23.96133007118665	16.39880349251253
SRS8422923	57.0	16.880139620677145	9.216302635610608
SRS8422924	75.0	16.42914656343539	7.680428796303698
SRS8422925	17.0	5.279321836638963	4.255751502693433
SRS8422926	60.0	15.626551524365384	7.429630976275346
SRS8422927	57.0	11.828825807064144	4.316031737526077
SRS8422928	50.0	8.841863540212026	4.588288810349762
SRS8422929	112.0	27.50366326485448	10.764230305610926
SRS8422930	100.0	14.650847576175337	4.686238294375794
SRS8422931	68.0	16.04687608988451	8.152445223157342
SRS8422932	87.0	19.59089311845431	8.986155792152934
SRS8422933	72.0	21.533919643762093	10.992292671245584
SRS8422934	45.0	11.947821033483592	8.476785175993253
SRS8422935	66.0	9.463319805845963	4.001132797508558
SRS8422936	80.0	13.102732111129447	4.890402956747103
SRS8422937	92.0	31.43446432546075	20.900898293625403
SRS8422938	59.0	6.162111344880096	2.627804792113629
SRS8422939	66.0	21.26837060544431	14.56030032519877
SRS8422940	83.0	17.420286809023448	6.0327343950502055
SRS8422941	42.0	9.398755011346001	6.118207134013579
SRS8422942	89.0	18.404947961947098	10.050174296125457
SRS8422943	52.0	16.7544543728216	10.884744979036304
SRS8422944	51.0	8.525350857955944	4.599070591101952
SRS8422945	78.0	12.356815163683265	6.280136346199941
SRS8422946	61.0	16.929752471716302	8.454747562288752
SRS8422947	81.0	13.944981084603837	6.386398528392637
SRS8422948	83.0	20.167602492470014	9.355464034584541
SRS8422949	68.0	20.830782106172457	10.942694502109251
SRS8422950	91.0	22.25962595621619	10.864452072335935
SRS8422951	58.0	11.83786334344921	4.73585062383034
SRS8422952	51.0	9.141628353291749	4.854736038316947
SRS8422953	67.0	18.204818186282594	9.914596989940295
SRS8422954	97.0	25.52289182488011	12.113102957458683
SRS8422955	96.0	18.21611104231175	8.129908840044585
SRS8422956	95.0	18.82947404521422	8.108600284912152
SRS8422957	38.0	8.341843772542838	4.6901919871637086
SRS8422958	76.0	12.251031312409442	5.825387424567571
SRS8422959	77.0	26.313117036552022	16.151678309234878
SRS8422960	49.0	11.328722025466053	5.255578433210542
SRS8422961	52.0	6.722643130943293	3.671864255608811
SRS8422962	62.0	17.774037085798245	8.348513617499918
SRS8422963	99.0	30.409671960027488	16.03480017757157
SRS8422964	49.0	13.866581658916195	7.16599058473844
SRS8422965	53.0	8.07319380776911	4.0214544511644394
SRS8422966	70.0	18.017038928576216	8.585635263208234
SRS8422967	67.0	15.972424849264726	7.7257417814747695
SRS8422968	89.0	24.034003934725632	13.189460752935474
SRS8422969	59.0	11.932701455901407	5.475803641223709
SRS8422970	110.0	27.63823204372812	10.545391612743995
SRS8422971	57.0	8.987410775499937	4.178821660778132
SRS8422972	115.0	24.10468487797731	8.7316834282361
SRS8422973	83.0	22.47554690091082	12.158470868491245
SRS8422974	79.0	17.238755719612026	8.63822558722744
SRS8422975	65.0	19.383051358525222	11.683986601349705
SRS8422976	67.0	18.07998006371384	9.690789482744801
SRS8422977	83.0	25.433749929685803	16.613742348697176
SRS8422978	54.0	8.329479859777607	4.9627544381367255
SRS8422979	35.0	4.970281756057065	2.609240067336952
SRS8422980	42.0	6.586891061019764	3.4571012261965492
SRS8422981	48.0	9.753091712495873	4.907028731800597
SRS8422982	76.0	19.14817580275276	7.820271092899942
SRS8422983	77.0	13.584362995227476	6.128348711102571
SRS8422984	120.0	33.44397547383108	19.566203219815172
SRS8422985	55.0	9.126213771985332	4.65688673837059
SRS8422986	58.0	7.341382680323521	4.633837081768924
SRS8422987	68.0	19.67128054040954	9.6853268700882
SRS8422988	80.0	12.551266868122081	5.472751082390663
SRS8422989	58.0	12.84868037296478	5.805474134643838
SRS8422990	71.0	14.218984282922909	5.70548365850898
SRS8422991	67.0	12.605507928373063	5.387924204673834
SRS8422992	53.0	11.985110090217782	6.250304201201617
SRS8422993	107.0	22.1533344285193	10.395150307837211
SRS8422994	31.0	8.253150407260708	4.843893334565849
SRS8422995	74.0	22.7176475975099	11.734771337792314
SRS8422996	81.0	16.63947604757519	9.761340974829775
SRS8422997	83.0	17.027384830235853	8.248472204438938
SRS8422998	89.0	24.895055969616724	14.272691746829077
SRS8422999	68.0	21.853912758719044	10.5243550082174
SRS8423000	64.0	16.218697120754904	10.761249731116896
SRS8423001	59.0	19.054737717256458	10.555733006203294
SRS8423002	53.0	9.154512533838748	4.75232099490007
SRS8423003	41.0	12.550926988634949	6.817052288055683
SRS8423004	45.0	7.046679045078476	3.555600703864216
SRS8423005	97.0	15.150817200505672	7.2679901034969925
SRS8423006	79.0	11.866035774410582	4.258085680968209
SRS8423007	60.0	10.981654524588714	5.723933711319736
SRS8423008	81.0	19.60450456149774	11.488594264050565
SRS8423009	43.0	11.292430723158944	7.768925975327017
SRS8423010	63.0	7.333410472291944	2.9597391407121156
SRS8423011	68.0	16.362043409184416	7.892704627247755
SRS8423012	76.0	15.065542403188848	8.477938725574429
SRS8423013	102.0	28.377534402025567	13.13508023709214
SRS8423014	68.0	10.578088075940551	4.479663193812644
SRS8423015	75.0	18.7086352487735	9.667630561764813
SRS8423016	64.0	13.360211626491717	7.405595206944217
SRS8423017	16.0	4.366222686256138	2.9881956941685877
SRS8423018	66.0	19.146373778076242	10.012546448440343
SRS8423019	70.0	10.545921884440158	5.21978618273692
SRS8423020	78.0	23.95200774244035	14.018773311509824
SRS8423021	72.0	14.274487830661407	7.93098412632224
SRS8423022	59.0	14.015806770485627	7.154140290490427
SRS8423023	64.0	9.548549021440847	5.273780076831867
SRS8423024	83.0	25.57885676073933	15.206271082323466
SRS8423025	52.0	10.37534326749806	5.459143229273872
SRS8423026	67.0	21.59718980364814	13.270829003306712
SRS8423027	49.0	6.227016136216604	3.2063834691352673
SRS8423028	55.0	6.2561479431751525	2.6256219223746764
SRS8423029	64.0	14.583160373194293	7.874952788799061
SRS8423030	47.0	6.321854489355036	3.1546153216785355
SRS8423031	53.0	7.798457126314546	4.4866180291769195
SRS8423032	45.0	17.617731540550114	11.01502077218952
SRS8423033	55.0	8.282251763893974	4.305662960048183
SRS8423034	42.0	9.75115221452812	4.991607634082733
ERS3136834	40.0	8.935994213650249	5.733003871298615
ERS3136835	37.0	12.017461695364204	8.331211799461029
ERS3136836	29.0	8.873288656641375	6.799860708855337
ERS3136837	48.0	17.388031938222753	12.544850414376418
ERS3136838	40.0	10.188747067467789	6.474424846932329
ERS3136839	45.0	13.248226071394893	8.152877829199609
ERS3136840	25.0	11.793394073941538	8.700438155820795
ERS3136841	33.0	13.321438827726867	9.344731378495135
ERS3136842	34.0	12.54624942023	8.471348331120723
ERS3136843	39.0	10.684791596574444	6.872792704115413
ERS3136844	15.0	5.2502701653609565	3.8263685905289315
ERS3136845	12.0	4.875805357851707	4.003170149980783
ERS3136846	22.0	7.28053009859919	5.5271959891254
ERS3136847	24.0	8.95799452876852	6.732138257833934
ERS3136848	38.0	13.609349492720646	9.24992548356475
ERS3136849	16.0	5.4428619139026875	4.175680201777353
ERS3136850	28.0	7.09010738468297	5.259834459864041
ERS3136851	44.0	13.435201127647844	8.135473503054593
ERS3136852	12.0	6.1986559299280986	4.947896955147391
ERS3136853	42.0	13.022755730103553	8.39449812512382
ERS3136854	35.0	9.584373343065515	6.260710821645097
ERS3136855	24.0	8.357864120061178	6.20656294117391
ERS3136856	34.0	8.98047908187681	5.712507440075195
ERS3136857	15.0	5.803592672120366	3.7240037581128336
ERS3136858	18.0	8.410001437800503	6.156001617121583
ERS3136859	26.0	11.730913208280647	7.961072949342704
ERS3136860	6.0	3.749456824676331	3.0516771655993797
ERS3136861	12.0	2.441712140278918	1.7325016948929333
ERS3136862	10.0	5.909990573828176	4.8389533683403085
ERS3136864	21.0	8.457393336712125	5.544275320385866
ERS3136865	10.0	3.6693924139634184	2.793081261121546
ERS3136866	20.0	5.078635565512743	2.910319476658259
ERS3136867	25.0	7.429025175153535	4.146039577432916
ERS3136868	14.0	4.103912273219025	2.8632767259762706
ERS3136869	13.0	3.7049790621461596	2.6220686751380082
ERS3136870	40.0	15.71838613547584	10.126308653009822
ERS3136871	27.0	7.238796226349504	3.9583756844961413
ERS3136872	35.0	11.43506775254808	7.197658754233953
ERS3136873	29.0	11.794237646067023	7.63776052894602
ERS3136874	32.0	9.918527394287338	6.077890429475326
ERS3136875	40.0	13.98502036682741	9.114321472447289
ERS3136876	8.0	2.2802059460676793	1.6014882492816216
ERS3136877	29.0	8.850094342089674	5.855676200908664
ERS3136878	36.0	8.131693086870627	4.968554395866238
